,Jmin,n,l,a,actfn
0,0.041169054806232445,1,1,3.141592653589793,tanh
1,0.038509391248226166,2,1,3.141592653589793,tanh
2,0.03685177490115166,4,1,3.141592653589793,tanh
3,0.03362776339054108,8,1,3.141592653589793,tanh
4,0.03971679508686066,16,1,3.141592653589793,tanh
5,0.0386093519628048,32,1,3.141592653589793,tanh
6,0.04045658558607101,64,1,3.141592653589793,tanh
7,0.040618199855089195,128,1,3.141592653589793,tanh
8,0.040821004658937454,256,1,3.141592653589793,tanh
9,0.040140606462955475,1,2,3.141592653589793,tanh
10,0.021283492445945736,2,2,3.141592653589793,tanh
11,0.01338762417435646,4,2,3.141592653589793,tanh
12,0.011319823563098907,8,2,3.141592653589793,tanh
13,0.005273450165987015,16,2,3.141592653589793,tanh
14,0.009699290618300436,32,2,3.141592653589793,tanh
15,0.003727492643520236,64,2,3.141592653589793,tanh
16,0.040245391428470605,128,2,3.141592653589793,tanh
17,0.040287669748067856,256,2,3.141592653589793,tanh
18,0.03679047152400017,1,4,3.141592653589793,tanh
19,0.014495892450213432,2,4,3.141592653589793,tanh
20,0.001967579359188676,4,4,3.141592653589793,tanh
21,0.002101526828482747,8,4,3.141592653589793,tanh
22,0.00011873046605614944,16,4,3.141592653589793,tanh
23,0.00023058612714521584,32,4,3.141592653589793,tanh
24,0.040586356073617935,64,4,3.141592653589793,tanh
25,0.04060189425945281,128,4,3.141592653589793,tanh
26,0.04057766497135162,256,4,3.141592653589793,tanh
27,0.04011261090636253,1,8,3.141592653589793,tanh
28,0.012751376256346703,2,8,3.141592653589793,tanh
29,0.007913838140666483,4,8,3.141592653589793,tanh
30,6.14615564700216e-05,8,8,3.141592653589793,tanh
31,8.73967437655665e-05,16,8,3.141592653589793,tanh
32,0.00028059774194844067,32,8,3.141592653589793,tanh
33,0.04016698524355888,64,8,3.141592653589793,tanh
34,0.04082223027944565,128,8,3.141592653589793,tanh
35,0.04034864902496338,256,8,3.141592653589793,tanh
36,0.04009713605046272,1,16,3.141592653589793,tanh
37,0.0016777770360931754,2,16,3.141592653589793,tanh
38,0.0005842202808707952,4,16,3.141592653589793,tanh
39,0.0002125465689459816,8,16,3.141592653589793,tanh
40,0.0002793617022689432,16,16,3.141592653589793,tanh
41,0.0003227975685149431,32,16,3.141592653589793,tanh
42,0.0007896265015006065,64,16,3.141592653589793,tanh
43,0.04027463868260384,128,16,3.141592653589793,tanh
44,0.040389422327280045,256,16,3.141592653589793,tanh
45,0.04020516201853752,1,32,3.141592653589793,tanh
46,0.04032579809427261,2,32,3.141592653589793,tanh
47,0.00043125843512825673,4,32,3.141592653589793,tanh
48,0.0003476158017292619,8,32,3.141592653589793,tanh
49,0.00025805344921536744,16,32,3.141592653589793,tanh
50,0.003466399386525154,32,32,3.141592653589793,tanh
51,0.0007999948575161396,64,32,3.141592653589793,tanh
52,0.010209372267127035,128,32,3.141592653589793,tanh
53,0.04347168654203415,256,32,3.141592653589793,tanh
54,0.04017387330532073,1,64,3.141592653589793,tanh
55,0.01489978190511465,2,64,3.141592653589793,tanh
56,0.04026287794113159,4,64,3.141592653589793,tanh
57,0.03496728464961052,8,64,3.141592653589793,tanh
58,0.03449583798646927,16,64,3.141592653589793,tanh
59,0.034509994089603424,32,64,3.141592653589793,tanh
60,0.04022935032844544,64,64,3.141592653589793,tanh
61,0.040268611162900925,128,64,3.141592653589793,tanh
62,0.04258339107036591,256,64,3.141592653589793,tanh
63,0.037597205489873886,1,1,3.141592653589793,relu
64,0.03697177395224571,2,1,3.141592653589793,relu
65,0.021416204050183296,4,1,3.141592653589793,relu
66,0.003097416367381811,8,1,3.141592653589793,relu
67,0.004688642453402281,16,1,3.141592653589793,relu
68,0.0004424773796927184,32,1,3.141592653589793,relu
69,0.00015928715583868325,64,1,3.141592653589793,relu
70,4.485051249503159e-05,128,1,3.141592653589793,relu
71,2.0009701984236017e-05,256,1,3.141592653589793,relu
72,0.04008406028151512,1,2,3.141592653589793,relu
73,0.040094595402479165,2,2,3.141592653589793,relu
74,0.01625073328614235,4,2,3.141592653589793,relu
75,0.0010863926727324724,8,2,3.141592653589793,relu
76,8.426023123320192e-05,16,2,3.141592653589793,relu
77,1.0876136002480052e-05,32,2,3.141592653589793,relu
78,6.415141342586139e-06,64,2,3.141592653589793,relu
79,8.717413948033936e-06,128,2,3.141592653589793,relu
80,7.799216291459745e-06,256,2,3.141592653589793,relu
81,0.04008615761995316,1,4,3.141592653589793,relu
82,0.04009078070521355,2,4,3.141592653589793,relu
83,0.00013299472630023956,4,4,3.141592653589793,relu
84,5.765452442574314e-05,8,4,3.141592653589793,relu
85,1.1908564374607522e-05,16,4,3.141592653589793,relu
86,1.294302910537226e-05,32,4,3.141592653589793,relu
87,1.6213654134844546e-06,64,4,3.141592653589793,relu
88,1.153074663307052e-05,128,4,3.141592653589793,relu
89,8.420328413194511e-06,256,4,3.141592653589793,relu
90,0.040101081132888794,1,8,3.141592653589793,relu
91,0.04010602831840515,2,8,3.141592653589793,relu
92,0.0072765895165503025,4,8,3.141592653589793,relu
93,0.00015762195107527077,8,8,3.141592653589793,relu
94,2.6081304895342328e-05,16,8,3.141592653589793,relu
95,0.0001920007198350504,32,8,3.141592653589793,relu
96,1.8916289263870567e-05,64,8,3.141592653589793,relu
97,6.930632662260905e-05,128,8,3.141592653589793,relu
98,4.438497489900328e-05,256,8,3.141592653589793,relu
99,0.04009539261460304,1,16,3.141592653589793,relu
100,0.040091659873723984,2,16,3.141592653589793,relu
101,0.007164022885262966,4,16,3.141592653589793,relu
102,0.04019282013177872,8,16,3.141592653589793,relu
103,1.02801686807652e-05,16,16,3.141592653589793,relu
104,8.003660332178697e-05,32,16,3.141592653589793,relu
105,9.19643644010648e-05,64,16,3.141592653589793,relu
106,2.9775947041343898e-05,128,16,3.141592653589793,relu
107,7.087253470672294e-05,256,16,3.141592653589793,relu
108,0.04009978100657463,1,32,3.141592653589793,relu
109,0.04009057581424713,2,32,3.141592653589793,relu
110,0.0400872677564621,4,32,3.141592653589793,relu
111,0.04039075970649719,8,32,3.141592653589793,relu
112,0.00043654532055370504,16,32,3.141592653589793,relu
113,1.315477038588142e-05,32,32,3.141592653589793,relu
114,8.132495713653043e-05,64,32,3.141592653589793,relu
115,7.1197796387423296e-06,128,32,3.141592653589793,relu
116,0.04024457931518555,256,32,3.141592653589793,relu
117,0.0400884672999382,1,64,3.141592653589793,relu
118,0.04008021205663681,2,64,3.141592653589793,relu
119,0.040103517472743995,4,64,3.141592653589793,relu
120,0.0402449369430542,8,64,3.141592653589793,relu
121,0.04014117643237113,16,64,3.141592653589793,relu
122,0.04013516008853912,32,64,3.141592653589793,relu
123,0.040211316198110574,64,64,3.141592653589793,relu
124,0.040292926132678986,128,64,3.141592653589793,relu
125,0.04017743095755577,256,64,3.141592653589793,relu
126,0.13493768870830536,1,1,6.283185307179586,sigmoid
127,0.1342765986919403,2,1,6.283185307179586,sigmoid
128,0.1351718306541443,4,1,6.283185307179586,sigmoid
129,0.13553348183631897,8,1,6.283185307179586,sigmoid
130,0.1354561448097229,16,1,6.283185307179586,sigmoid
131,0.13488323986530304,32,1,6.283185307179586,sigmoid
132,0.13717582821846008,64,1,6.283185307179586,sigmoid
133,0.13605333864688873,128,1,6.283185307179586,sigmoid
134,0.13721726834774017,256,1,6.283185307179586,sigmoid
135,0.12642650306224823,1,2,6.283185307179586,sigmoid
136,0.12349363416433334,2,2,6.283185307179586,sigmoid
137,0.13088667392730713,4,2,6.283185307179586,sigmoid
138,0.10184667259454729,8,2,6.283185307179586,sigmoid
139,0.10033362358808516,16,2,6.283185307179586,sigmoid
140,0.13526031374931335,32,2,6.283185307179586,sigmoid
141,0.13707514107227323,64,2,6.283185307179586,sigmoid
142,0.13609120249748227,128,2,6.283185307179586,sigmoid
143,0.04958346486091614,256,2,6.283185307179586,sigmoid
144,0.134943887591362,1,4,6.283185307179586,sigmoid
145,0.1350281983613968,2,4,6.283185307179586,sigmoid
146,0.13498519361019135,4,4,6.283185307179586,sigmoid
147,0.13496695458889008,8,4,6.283185307179586,sigmoid
148,0.13471607863903043,16,4,6.283185307179586,sigmoid
149,0.044276297092437744,32,4,6.283185307179586,sigmoid
150,0.13773253560066223,64,4,6.283185307179586,sigmoid
151,0.13608227670192719,128,4,6.283185307179586,sigmoid
152,0.1386025846004486,256,4,6.283185307179586,sigmoid
153,0.13493120670318604,1,8,6.283185307179586,sigmoid
154,0.13501636683940887,2,8,6.283185307179586,sigmoid
155,0.13498958945274353,4,8,6.283185307179586,sigmoid
156,0.13491643965244293,8,8,6.283185307179586,sigmoid
157,0.13535204529762268,16,8,6.283185307179586,sigmoid
158,0.1363973170518875,32,8,6.283185307179586,sigmoid
159,0.1368873566389084,64,8,6.283185307179586,sigmoid
160,0.1361750364303589,128,8,6.283185307179586,sigmoid
161,0.13730388879776,256,8,6.283185307179586,sigmoid
162,0.1349564492702484,1,16,6.283185307179586,sigmoid
163,0.13501353561878204,2,16,6.283185307179586,sigmoid
164,0.13494545221328735,4,16,6.283185307179586,sigmoid
165,0.1351550668478012,8,16,6.283185307179586,sigmoid
166,0.13520410656929016,16,16,6.283185307179586,sigmoid
167,0.13562707602977753,32,16,6.283185307179586,sigmoid
168,0.13658015429973602,64,16,6.283185307179586,sigmoid
169,0.13644032180309296,128,16,6.283185307179586,sigmoid
170,0.1363173872232437,256,16,6.283185307179586,sigmoid
171,0.1349821835756302,1,32,6.283185307179586,sigmoid
172,0.1349678486585617,2,32,6.283185307179586,sigmoid
173,0.13501904904842377,4,32,6.283185307179586,sigmoid
174,0.13512268662452695,8,32,6.283185307179586,sigmoid
175,0.136733278632164,16,32,6.283185307179586,sigmoid
176,0.13630087673664093,32,32,6.283185307179586,sigmoid
177,0.13543589413166046,64,32,6.283185307179586,sigmoid
178,0.1365169733762741,128,32,6.283185307179586,sigmoid
179,0.13697300851345062,256,32,6.283185307179586,sigmoid
180,0.1349307894706726,1,64,6.283185307179586,sigmoid
181,0.1351088583469391,2,64,6.283185307179586,sigmoid
182,0.1349937617778778,4,64,6.283185307179586,sigmoid
183,0.13570955395698547,8,64,6.283185307179586,sigmoid
184,0.1353572309017181,16,64,6.283185307179586,sigmoid
185,0.13549599051475525,32,64,6.283185307179586,sigmoid
186,0.13623231649398804,64,64,6.283185307179586,sigmoid
187,0.13839101791381836,128,64,6.283185307179586,sigmoid
188,0.13859033584594727,256,64,6.283185307179586,sigmoid
189,0.16111189126968384,1,1,15.707963267948966,tanh
190,0.14988611638545987,2,1,15.707963267948966,tanh
191,0.1494019478559494,4,1,15.707963267948966,tanh
192,0.15619252622127533,8,1,15.707963267948966,tanh
193,0.14997337758541107,16,1,15.707963267948966,tanh
194,0.15786343812942505,32,1,15.707963267948966,tanh
195,0.1617036014795303,64,1,15.707963267948966,tanh
196,0.1623762547969818,128,1,15.707963267948966,tanh
197,0.1618836671113968,256,1,15.707963267948966,tanh
198,0.16148747503757477,1,2,15.707963267948966,tanh
199,0.16174623370170593,2,2,15.707963267948966,tanh
200,0.14753244817256927,4,2,15.707963267948966,tanh
201,0.1489330232143402,8,2,15.707963267948966,tanh
202,0.14414569735527039,16,2,15.707963267948966,tanh
203,0.145782008767128,32,2,15.707963267948966,tanh
204,0.14295008778572083,64,2,15.707963267948966,tanh
205,0.11971475929021835,128,2,15.707963267948966,tanh
206,0.1615697592496872,256,2,15.707963267948966,tanh
207,0.16115199029445648,1,4,15.707963267948966,tanh
208,0.14655807614326477,2,4,15.707963267948966,tanh
209,0.14611557126045227,4,4,15.707963267948966,tanh
210,0.14740486443042755,8,4,15.707963267948966,tanh
211,0.0722517743706703,16,4,15.707963267948966,tanh
212,0.023307455703616142,32,4,15.707963267948966,tanh
213,0.1617555320262909,64,4,15.707963267948966,tanh
214,0.16157928109169006,128,4,15.707963267948966,tanh
215,0.16154302656650543,256,4,15.707963267948966,tanh
216,0.1361100673675537,1,8,15.707963267948966,tanh
217,0.12151679396629332,2,8,15.707963267948966,tanh
218,0.05562599003314972,4,8,15.707963267948966,tanh
219,0.024658460170030597,8,8,15.707963267948966,tanh
220,0.06086346879601479,16,8,15.707963267948966,tanh
221,0.0256335474550724,32,8,15.707963267948966,tanh
222,0.16163690388202667,64,8,15.707963267948966,tanh
223,0.16187065839767456,128,8,15.707963267948966,tanh
224,0.16179275512695312,256,8,15.707963267948966,tanh
225,0.16025932133197784,1,16,15.707963267948966,tanh
226,0.1067049652338028,2,16,15.707963267948966,tanh
227,0.02292352169752121,4,16,15.707963267948966,tanh
228,0.014702402986586092,8,16,15.707963267948966,tanh
229,0.002660043304786086,16,16,15.707963267948966,tanh
230,0.1618300825357437,32,16,15.707963267948966,tanh
231,0.16162630915641785,64,16,15.707963267948966,tanh
